site_code,assetid,site_name,neighbourhood,ward_name,service,bin_count,bin_size,route1,route2,route3,easting,northing,classification
7901878,30004,Johnston Terrace,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325391,673459,None Applied
7901878,30003,Johnston Terrace,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325472,673481,Public Carriageway
7901878,30002,Johnston Terrace,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325488,673489,Public Carriageway
7901878,30001,Johnston Terrace,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325504,673501,Public Carriageway
7901791,30002,Forrest Road,South East Locality,11-City Centre,WS: Side Loading Communal,2,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325701,673156,Public Carriageway
7901791,30001,Forrest Road,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325707,673201,Public Carriageway
7901712,30003,Cockburn Street,South East Locality,11-City Centre,WS: Side Loading Communal,2,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325854,673695,Public Carriageway
7901712,30002,Cockburn Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,Route 42 Week All - Monday,325783,673699,Public Carriageway
7902126,30002,Regent Road,South East Locality,11-City Centre,WS: Side Loading Communal,0,3200 Litres,Route 41 Week All - Tuesday,Route 41 Week All - Friday,No Route Allocated,326099,674087,Public Carriageway
7905861,30002,Fairbairn Place,North East Locality,13-Leith,WS: Side Loading Communal,1,None Applied,Route 43 Week All - Tuesday,Route 43 Week All - Friday,No Route Allocated,325839.91,677036.76,None Applied
7905989,30002,Bothwell House,North East Locality,12-Leith Walk,WS: Side Loading Communal,3,3200 Litres,Route 41 Week All - Saturday,Route 41 Week All - Wednesday,No Route Allocated,326983,674761,Public Carriageway
7901187,30005,Laverockbank Avenue,North West Locality,04-Forth,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Tuesday,Route 43 Week All - Friday,No Route Allocated,325211,676988,Public Carriageway
7904557,30004,Albion Place,North East Locality,12-Leith Walk,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327225,674947,Public Carriageway
7904557,30003,Albion Place,North East Locality,12-Leith Walk,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327214,674941,Public Carriageway
7904507,30002,Belhaven Place,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324393,670889,In Development
7904506,30003,Belhaven Terrace,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324450,670882,Public Carriageway
7904505,30014,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,323923,670843,Public Carriageway
7904505,30013,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,323949,670855,Public Carriageway
7904505,30012,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,323978,670857,Public Carriageway
7904505,30011,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,323988,670846,Public Carriageway
7904505,30010,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324046,670859,Public Carriageway
7904505,30009,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324139,670891,Public Carriageway
7904505,30007,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324162,670899,Public Carriageway
7904505,30006,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324201,670913,Public Carriageway
7904505,30005,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324234,670926,Public Carriageway
7904505,30004,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324305,670954,Public Carriageway
7904505,30003,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324374,670941,Public Carriageway
7904505,30002,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324415,670918,Public Carriageway
7904498,30002,Bread Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,324842,673179,Public Carriageway
7904487,30004,Ashley Terrace,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,2,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,323402,671690,Public Carriageway
7904487,30003,Ashley Terrace,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,323358,671737,Public Carriageway
7904487,30002,Ashley Terrace,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,2,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,323326,671773,Public Carriageway
7904470,30004,Belgrave Crescent,North West Locality,05-Inverleith,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,324004,674093,Public Carriageway
7904470,30003,Belgrave Crescent,North West Locality,05-Inverleith,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,324077,674100,Public Carriageway
7904470,30002,Belgrave Crescent,North West Locality,05-Inverleith,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,324142,674075,Public Carriageway
7904421,30002,Braid Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,1800 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324523,670821,Public Carriageway
7904309,30001,St Peter's Buildings,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,324419,672546,Public Carriageway
7904291,30001,Saxe-Coburg Terrace,North West Locality,05-Inverleith,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,324756,674750,Public Carriageway
7901947,30022,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325504,671997,Public Carriageway
7901947,30021,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325497,672058,Public Carriageway
7901947,30020,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325494,672090,Public Carriageway
7904505,30008,Balcarres Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,323845,670838,Public Carriageway
7904497,30002,Barclay Terrace,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Monday,Route 41 Week All - Thursday,No Route Allocated,324889,672487,Public Carriageway
7904495,30001,Brandfield Street,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,4,1280 Litres,Route 42 Week All - Monday,Route 42 Week All - Thursday,No Route Allocated,324411,672930,Public Carriageway
7904401,30003,Roseneath Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325612,672325,Public Carriageway
7904401,30002,Roseneath Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325647,672324,Public Carriageway
7904385,30012,Colinton Road,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,1,2400 Litres,Route 41 Week All - Thursday,Route 41 Week All - Monday,No Route Allocated,324215,671704,Public Carriageway
7904354,30003,Airlie Place,North West Locality,05-Inverleith,WS: Side Loading Communal,1,2400 Litres,Route 43 Week All - Tuesday,Route 43 Week All - Friday,No Route Allocated,325100,674855,Public Carriageway
7904354,30002,Airlie Place,North West Locality,05-Inverleith,WS: Side Loading Communal,1,2400 Litres,Route 43 Week All - Tuesday,Route 43 Week All - Friday,No Route Allocated,325094,674877,Public Carriageway
7904350,30002,Wolseley Place,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,328257,674149,Public Carriageway
7904348,30003,Wolseley Terrace,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,328297,674141,Public Carriageway
7904308,30003,St Peter's Place,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,324344,672571,Public Carriageway
7904308,30002,St Peter's Place,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,324358,672554,Public Carriageway
7904308,30001,St Peter's Place,South West Locality,09-Fountainbridge/Craiglockhar,WS: Side Loading Communal,1,3200 Litres,Route 43 Week All - Monday,Route 43 Week All - Thursday,No Route Allocated,324371,672538,Public Carriageway
7904297,30003,Seafield Road East,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Tuesday,Route 41 Week All - Friday,No Route Allocated,329983,674463,Public Carriageway
7904296,30001,Seafield Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Tuesday,Route 41 Week All - Friday,No Route Allocated,328685,675721,Public Carriageway
7904266,30002,Queen's Park Court,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,328143,673979,Public Carriageway
7904244,30002,Mulberry Place,North East Locality,12-Leith Walk,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Tuesday,Route 41 Week All - Friday,No Route Allocated,325945,676172,Public Carriageway
7901969,30004,Meadowbank Avenue,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327988,674136,Public Carriageway
7901969,30003,Meadowbank Avenue,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327979,674170,Public Carriageway
7901968,30003,Meadow Place,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325480,672533,Public Carriageway
7901968,30002,Meadow Place,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325475,672507,Public Carriageway
7901954,30010,Marionville Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327657,674445,Public Carriageway
7901954,30009,Marionville Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327571,674417,Public Carriageway
7901954,30008,Marionville Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327513,674413,Public Carriageway
7901954,30007,Marionville Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327477,674410,Public Carriageway
7901954,30006,Marionville Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327522,674422,Public Carriageway
7901948,30006,Marchmont Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325114,672332,Public Carriageway
7901948,30005,Marchmont Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325101,672381,Public Carriageway
7901948,30004,Marchmont Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325108,672309,Public Carriageway
7901948,30003,Marchmont Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325082,672387,Public Carriageway
7901947,30019,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325441,672448,Public Carriageway
7901947,30018,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325461,672369,Public Carriageway
7901947,30017,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325454,672434,Public Carriageway
7901947,30016,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325457,672299,Public Carriageway
7901947,30015,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325467,672206,Public Carriageway
7901947,30014,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325422,672429,Public Carriageway
7901947,30013,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325448,672381,Public Carriageway
7901947,30012,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325477,672234,Public Carriageway
7901947,30011,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325473,672273,Public Carriageway
7901947,30010,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325463,672251,Public Carriageway
7901947,30009,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325472,672177,Public Carriageway
7901947,30008,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325472,671983,Public Carriageway
7901947,30007,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325483,672073,Public Carriageway
7901947,30006,Marchmont Road,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325490,672005,Public Carriageway
7901946,30019,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325519,672149,Public Carriageway
7901946,30018,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325532,672166,Public Carriageway
7901946,30016,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325571,672260,Public Carriageway
7901946,30015,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325573,672296,Public Carriageway
7901946,30014,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325472,672473,Public Carriageway
7901946,30013,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325508,672434,Public Carriageway
7901946,30012,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325487,672445,Public Carriageway
7901932,30009,London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327445,674365,Public Carriageway
7901924,30001,Logan Street,North West Locality,05-Inverleith,WS: Side Loading Communal,2,3200 Litres,Route 43 Week All - Tuesday,Route 43 Week All - Friday,No Route Allocated,325313,674863,Public Carriageway
7901946,30017,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325549,672194,Public Carriageway
7901946,30011,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325518,672449,Public Carriageway
7901946,30010,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325561,672287,Public Carriageway
7901946,30009,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325552,672232,Public Carriageway
7901946,30008,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325544,672210,Public Carriageway
7901946,30007,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325546,672369,Public Carriageway
7901946,30006,Marchmont Crescent,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325543,672388,Public Carriageway
7901939,30008,Lyne Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327022,674353,Public Carriageway
7901939,30007,Lyne Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327016,674367,Public Carriageway
7901939,30006,Lyne Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327009,674382,Public Carriageway
7901939,30005,Lyne Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327004,674394,Public Carriageway
7901935,30014,Lower London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327513,674316,Public Carriageway
7901932,30008,London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327104,674439,Public Carriageway
7901932,30007,London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,326990,674458,Public Footway
7901932,30006,London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,327047,674445,Public Footway
7901932,30005,London Road,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,326960,674464,Public Footway
7901915,30006,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,2,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325983,672309,Public Footway
7901915,30005,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325972,672321,Public Carriageway
7901915,30004,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325964,672360,Public Carriageway
7901915,30002,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325957,672443,Public Carriageway
7901915,30001,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325947,672447,Public Carriageway
7901908,30004,Leith Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,325953,674074,Public Carriageway
7901908,30003,Leith Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,325952,674073,Public Carriageway
7901908,30002,Leith Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Tuesday,Route 42 Week All - Friday,No Route Allocated,325951,674073,Public Carriageway
7901891,30004,Lady Lawson Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325047,673237,Public Carriageway
7901891,30003,Lady Lawson Street,South East Locality,11-City Centre,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325052,673246,Public Carriageway
7901915,30003,Livingstone Place,South East Locality,15-Southside/Newington,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325969,672382,Public Carriageway
7901911,30001,Lilyhill Terrace,North East Locality,14-Craigentinny/Duddingston,WS: Side Loading Communal,2,3200 Litres,Route 41 Week All - Wednesday,Route 41 Week All - Saturday,No Route Allocated,328141,673986,Public Carriageway
7901909,30003,Leven Terrace,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,1800 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325078,672705,Public Carriageway
7901909,30002,Leven Terrace,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325090,672768,Public Carriageway
7901905,30004,Lauriston Park,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325069,673005,Public Carriageway
7901905,30003,Lauriston Park,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,2,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325092,672918,Public Carriageway
7901904,30006,Lauriston Gardens,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325233,672815,Public Carriageway
7901904,30005,Lauriston Gardens,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325215,672873,Public Carriageway
7901904,30004,Lauriston Gardens,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,3,1800 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325177,672944,In Development
7901904,30003,Lauriston Gardens,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325223,672821,Public Carriageway
7901903,30005,Lauderdale Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325203,672151,Public Carriageway
7901903,30004,Lauderdale Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325196,672219,Public Carriageway
7901903,30003,Lauderdale Street,South East Locality,10-Meadows/Morningside,WS: Side Loading Communal,1,3200 Litres,Route 42 Week All - Wednesday,Route 42 Week All - Saturday,No Route Allocated,325189,672284,Public Carriageway
